sample_id,scenario,mechanism,duration_seconds,started_at,ended_at,rounds,source_run,runner,config
AvailabilityBias__RuleLLM,AvailabilityBias,RuleLLM,24481.426,2026-05-23T18:17:19,2026-05-24T01:05:21,configured_full,samples/AvailabilityBias/RuleLLM,examples/AvailabilityBias/RuleLLM/run_availabilitybias_rulellm.py,samples/AvailabilityBias/RuleLLM/config/simulation.yml
AvailabilityBias__Rag,AvailabilityBias,Rag,5270.391,2026-05-23T01:30:40,2026-05-23T02:58:30,configured_full,samples/AvailabilityBias/Rag,examples/AvailabilityBias/Rag/run_availabilitybias_rag.py,samples/AvailabilityBias/Rag/config/simulation.yml
BlackMonday1987__Rule,BlackMonday1987,Rule,40.003,2026-05-22T03:47:00,2026-05-22T03:47:40,configured_full,samples/BlackMonday1987/Rule,examples/BlackMonday1987/Rule/run_blackmonday1987.py,samples/BlackMonday1987/Rule/config/simulation.yml
BlackMonday1987__LLM,BlackMonday1987,LLM,6070.33,2026-05-23T16:20:17,2026-05-23T18:01:27,configured_full,samples/BlackMonday1987/LLM,examples/BlackMonday1987/LLM/run_blackmonday1987_llm.py,samples/BlackMonday1987/LLM/config/simulation.yml
BlackMonday1987__RuleLLM,BlackMonday1987,RuleLLM,5250.296,2026-05-23T18:01:37,2026-05-23T19:29:08,configured_full,samples/BlackMonday1987/RuleLLM,examples/BlackMonday1987/RuleLLM/run_blackmonday1987_rulellm.py,samples/BlackMonday1987/RuleLLM/config/simulation.yml
BlackMonday1987__Rag,BlackMonday1987,Rag,4670.365,2026-05-23T01:27:41,2026-05-23T02:45:31,configured_full,samples/BlackMonday1987/Rag,examples/BlackMonday1987/Rag/run_blackmonday1987_rag.py,samples/BlackMonday1987/Rag/config/simulation.yml
CarryTradeUnwind__Rule,CarryTradeUnwind,Rule,40.003,2026-05-22T03:47:40,2026-05-22T03:48:20,configured_full,samples/CarryTradeUnwind/Rule,examples/CarryTradeUnwind/Rule/run_carrytradeunwind_rule.py,samples/CarryTradeUnwind/Rule/config/simulation.yml
CarryTradeUnwind__LLM,CarryTradeUnwind,LLM,4080.299,2026-05-23T01:11:52,2026-05-23T02:19:52,configured_full,samples/CarryTradeUnwind/LLM,examples/CarryTradeUnwind/LLM/run_carrytradeunwind_llm.py,samples/CarryTradeUnwind/LLM/config/simulation.yml
CarryTradeUnwind__RuleLLM,CarryTradeUnwind,RuleLLM,12720.758,2026-05-23T19:29:18,2026-05-23T23:01:18,configured_full,samples/CarryTradeUnwind/RuleLLM,examples/CarryTradeUnwind/RuleLLM/run_carrytradeunwind_rulellm.py,samples/CarryTradeUnwind/RuleLLM/config/simulation.yml
CarryTradeUnwind__Rag,CarryTradeUnwind,Rag,11810.698,2026-05-23T18:15:45,2026-05-23T21:32:36,configured_full,samples/CarryTradeUnwind/Rag,examples/CarryTradeUnwind/Rag/run_carrytradeunwind_rag.py,samples/CarryTradeUnwind/Rag/config/simulation.yml
ConfirmationBias__Rule,ConfirmationBias,Rule,40.003,2026-05-22T03:48:20,2026-05-22T03:49:00,configured_full,samples/ConfirmationBias/Rule,examples/ConfirmationBias/Rule/run_confirmationbias_rule.py,samples/ConfirmationBias/Rule/config/simulation.yml
ConfirmationBias__LLM,ConfirmationBias,LLM,4870.285,2026-05-22T15:47:06,2026-05-22T17:08:16,configured_full,samples/ConfirmationBias/LLM,examples/ConfirmationBias/LLM/run_confirmationbias_llm.py,samples/ConfirmationBias/LLM/config/simulation.yml
