url,title,author,year
https://fernandonogueiracosta.wordpress.com/wp-content/uploads/2015/08/shleifer-andrei-inefficient-markets-an-introduction-to-behavioral-finance-oxford-university-press-2000.pdf,Inefficient Markets: An Introduction to Behavioral Finance,Andrei Shleifer,2000
https://en.wikipedia.org/wiki/Limits_to_arbitrage,The Limits of Arbitrage Summary,Shleifer and Vishny,1997
https://en.wikipedia.org/wiki/Irrational_Exuberance_(book),Irrational Exuberance Summary,Robert J. Shiller,2000
