url,title,author,year
https://glenbradford.com/files/Stocks/security-analysis-benjamin-graham-6th-edition-pdf-february-24-2010-12-08-am-3-0-meg.pdf,Security Analysis: Principles and Techniques,Graham and Dodd,1934
https://en.wikipedia.org/wiki/The_Intelligent_Investor,The Intelligent Investor Summary,Benjamin Graham,1949
https://en.wikipedia.org/wiki/Value_investing,Value Investing Overview,Bruce Greenwald,2001
