url,title,author,year
http://pombo.free.fr/kindleberger2005.pdf,Manias Panics and Crashes: A History of Financial Crises,Charles P. Kindleberger,2005
https://en.wikipedia.org/wiki/Irrational_Exuberance_(book),Irrational Exuberance Summary,Robert J. Shiller,2000
https://www.newyorkfed.org/medialibrary/media/research/epr/10v16n1/1008gean.pdf,Solving the Present Crisis and Managing the Leverage Cycle,John Geanakoplos,2010
