url,title,author,year
https://en.wikipedia.org/wiki/Noise_trader,Noise Trader Risk in Financial Markets Summary,De Long et al.,1990
https://fernandonogueiracosta.wordpress.com/wp-content/uploads/2015/08/shleifer-andrei-inefficient-markets-an-introduction-to-behavioral-finance-oxford-university-press-2000.pdf,Inefficient Markets: An Introduction to Behavioral Finance,Andrei Shleifer,2000
https://en.wikipedia.org/wiki/Behavioral_finance,Behavioral Finance Overview,Richard H. Thaler,2005
